date,chain_segment,index_level,covered_weight_pct_total_ipca,total_food_at_home_weight_pct_total_ipca,coverage_fraction,covered_subitem_count,retailer_count,product_pair_count,descriptive_low_relative,descriptive_high_relative,unclassified_count,no_healthy_run_count,unavailable_count,carried_expired_count,no_denominator_count,invalid_price_count
2026-07-10,1,100.000000000000,0.4726,12.1181,0.038999513125,2,2,0,,,5613,5735,0,0,994,0
2026-07-11,1,100.000000000000,0.4726,12.1181,0.038999513125,2,2,15,,,5613,5735,0,0,994,0
2026-07-12,1,99.735786531016,11.7545,12.1181,0.969995296292,78,4,1138,,,10480,0,83,0,656,0
2026-07-13,1,100.037136722576,11.7816,12.1181,0.972231620469,79,4,1484,,,10480,0,97,0,296,0
2026-07-14,1,100.349335066128,11.7816,12.1181,0.972231620469,79,4,1507,,,10480,0,47,0,323,0
2026-07-15,1,99.526231683370,11.7816,12.1181,0.972231620469,79,4,1527,,,10480,0,63,0,287,0
2026-07-16,1,99.419497464888,11.6125,12.1181,0.958277287694,76,3,1191,,,7986,2895,9,0,276,0
2026-07-17,1,99.584882760445,11.6125,12.1181,0.958277287694,76,3,1195,,,7986,2895,20,0,261,0
2026-07-18,1,99.488796158208,11.7816,12.1181,0.972231620469,79,4,1558,,,10480,0,42,0,277,0
2026-07-19,1,100.111582723118,11.7816,12.1181,0.972231620469,79,4,1544,,,10480,0,39,28,266,0
2026-07-20,1,100.067755670904,11.7816,12.1181,0.972231620469,79,4,1540,,,10480,0,16,38,283,0
