date,previous_date,retailer_id,retailer_name,ipca_item_id,ipca_code,relative,product_pair_count
2026-07-11,2026-07-10,pao-de-acucar,Pão de Açúcar,ipca-sp-1101002,1101002,1.000000000000,1
2026-07-11,2026-07-10,extra-mercado,Extra Mercado,ipca-sp-1116071,1116071,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1101002,1101002,0.968227424749,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1101002,1101002,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102006,1102006,0.873605275424,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102006,1102006,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1102029,1102029,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102029,1102029,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1102061,1102061,0.949748743719,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1102061,1102061,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1102061,1102061,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1103003,1103003,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103003,1103003,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1103044,1103044,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1104023,1104023,0.892448086593,5
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1104023,1104023,1.000000000000,5
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1104023,1104023,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1104023,1104023,1.000000000000,4
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1104032,1104032,1.000000000000,2
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1104032,1104032,1.000000000000,5
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1104032,1104032,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1104052,1104052,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1105001,1105001,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1105012,1105012,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1106018,1106018,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1106019,1106019,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107018,1107018,1.000000000000,2
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107018,1107018,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107084,1107084,1.000000000000,5
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1107093,1107093,1.205655526992,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107094,1107094,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1107095,1107095,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1108038,1108038,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1108075,1108075,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1108080,1108080,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1109002,1109002,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1109007,1109007,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1109007,1109007,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1109008,1109008,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1109008,1109008,1.000000000000,4
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1109010,1109010,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1110010,1110010,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1110010,1110010,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1110010,1110010,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1110044,1110044,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1111004,1111004,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1111009,1111009,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1111009,1111009,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1111011,1111011,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1111011,1111011,1.000000000000,5
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1111011,1111011,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1111019,1111019,0.816769428581,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1111019,1111019,1.000000000000,9
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1111019,1111019,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1111019,1111019,1.000000000000,3
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1111021,1111021,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1112003,1112003,1.000267236810,5
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1112003,1112003,1.000000000000,4
