date,previous_date,retailer_id,product_id,ipca_item_id,ipca_code,classification_id,classification_version,numerator_cents,denominator_cents,numerator_source_date,denominator_source_date,numerator_carried,denominator_carried,numerator_carry_reason,denominator_carry_reason,relative
2026-07-11,2026-07-10,extra-mercado,02be7fc3-b139-49bb-8bc1-1d91a469e866,ipca-sp-1116071,1116071,a67d6668-5e98-4344-af16-ad1db54fb899,1,679,679,2026-07-11,2026-07-10,false,false,,,1.000000000000
2026-07-11,2026-07-10,pao-de-acucar,04e91806-b67e-4cf0-a908-10124c4ef796,ipca-sp-1101002,1101002,d3a49cb6-5593-4e33-8e4c-d2ca338236f4,1,2799,2799,2026-07-11,2026-07-10,false,false,,,1.000000000000
2026-07-12,2026-07-11,carrefour,000bcd62-94d2-4367-92f6-5afda1165318,ipca-sp-1104032,1104032,40d19021-7990-4fe9-b15c-9a4c0daf1a5f,1,2190,2190,2026-07-11,2026-07-11,true,false,missing_observation,,1.000000000000
2026-07-12,2026-07-11,carrefour,00a6dc98-11ae-4155-808a-ad966c1355d4,ipca-sp-1112018,1112018,5f7cbd50-1447-4af9-a5bc-bc6d42b096f8,1,1738,1738,2026-07-11,2026-07-11,true,false,missing_observation,,1.000000000000
2026-07-12,2026-07-11,carrefour,00f412e6-5800-47ed-8070-fbbcc7c3fb25,ipca-sp-1114084,1114084,c5dd0b17-060f-454a-b573-11df5ad315ca,1,499,489,2026-07-12,2026-07-11,false,false,,,1.020449897751
2026-07-12,2026-07-11,carrefour,016fc79b-1337-4a26-b50a-7ed676b07480,ipca-sp-1112019,1112019,bff087cf-afbb-4079-8d3b-ee6fe8fba098,1,399,399,2026-07-11,2026-07-11,true,false,missing_observation,,1.000000000000
2026-07-12,2026-07-11,carrefour,018a4c5a-4e32-4db4-9059-58509ac821ca,ipca-sp-1112003,1112003,e24d2895-386a-480b-90b7-2c6ae25a7c41,1,749,748,2026-07-12,2026-07-11,false,false,,,1.001336898396
2026-07-12,2026-07-11,carrefour,0190842f-28be-495f-995f-e30206fb4de0,ipca-sp-1115075,1115075,c794aa6d-7397-4ef1-82ab-5d2ed27cad4d,1,959,1039,2026-07-12,2026-07-11,false,false,,,0.923002887392
2026-07-12,2026-07-11,carrefour,01921125-7539-4dd1-920e-a6e7cd2470ef,ipca-sp-1116005,1116005,386e928f-ba62-4be1-96e7-bfe706365f81,1,259,259,2026-07-11,2026-07-11,true,false,missing_observation,,1.000000000000
2026-07-12,2026-07-11,carrefour,01c54969-e7fd-4024-b330-a385762c6120,ipca-sp-1111019,1111019,bd609a88-5f59-41d0-bcb4-52b450d3b0c3,1,698,698,2026-07-11,2026-07-11,true,false,missing_observation,,1.000000000000
