pof_vintage,weight_reference_month,effective_from,sidra_area_level,sidra_area_code,area_name,snipc_subgroup_code,sidra_category_id,snipc_subitem_code,subitem_name,weight_pct_total_ipca,source_sheet,source_row,source_url,source_archive_sha256
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7173,1101002,Arroz,0.4030,SP,8,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12222,1101073,Feijão-carioca (rajado),0.1876,SP,9,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7187,1102006,Macarrão,0.1112,SP,11,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7191,1102012,Farinha de trigo,0.0431,SP,12,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7195,1102023,Farinha de mandioca,0.0320,SP,13,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107608,1102029,Massa semipreparada,0.1189,SP,14,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,47619,1102061,Macarrão instantâneo,0.0404,SP,15,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7201,1103002,Batata-doce,0.0267,SP,17,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7202,1103003,Batata-inglesa,0.1234,SP,18,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7206,1103020,Abobrinha,0.0191,SP,19,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7210,1103026,Pimentão,0.0368,SP,20,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7212,1103028,Tomate,0.1791,SP,21,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7215,1103043,Cebola,0.0906,SP,22,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7216,1103044,Cenoura,0.0363,SP,23,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7220,1104003,Açúcar refinado,0.1100,SP,25,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107609,1104023,Chocolate em barra e bombom,0.2557,SP,26,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7230,1104032,Sorvete,0.1665,SP,27,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107611,1104052,Chocolate e achocolatado em pó,0.1191,SP,28,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7242,1105001,Alface,0.0965,SP,30,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7245,1105005,Couve,0.0271,SP,31,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7248,1105010,Repolho,0.0163,SP,32,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7249,1105012,Cheiro-verde,0.0326,SP,33,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7253,1105019,Brócolis,0.0306,SP,34,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7258,1106005,Banana-d'água,0.1481,SP,36,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7260,1106008,Banana-prata,0.0843,SP,37,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7265,1106015,Limão,0.0565,SP,38,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7266,1106017,Maçã,0.1217,SP,39,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7267,1106018,Mamão,0.0900,SP,40,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7268,1106019,Manga,0.0644,SP,41,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7272,1106023,Pera,0.0508,SP,42,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7275,1106027,Tangerina,0.0668,SP,43,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7276,1106028,Uva,0.0794,SP,44,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7279,1106039,Laranja-pera,0.1045,SP,45,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7287,1107018,Carne de porco,0.2853,SP,47,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7291,1107084,Contrafilé,0.3951,SP,48,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7293,1107087,Chã de dentro,0.2838,SP,49,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7294,1107088,Alcatra,0.2158,SP,50,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7295,1107089,Patinho,0.2286,SP,51,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12294,1107091,Lagarto comum,0.1077,SP,52,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7298,1107093,Músculo,0.1026,SP,53,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7299,1107094,Pá,0.1231,SP,54,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7300,1107095,Acém,0.2571,SP,55,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7302,1107099,Costela,0.1690,SP,56,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107615,1108029,Peixe-cação,0.0209,SP,58,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107616,1108031,Peixe-merluza,0.0279,SP,59,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7320,1108038,Peixe-pescada,0.0212,SP,60,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12431,1108075,Peixe-salmão,0.0250,SP,61,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
